,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,cp_1
59098,1.0,1.0,39.0,32.0,-2.054393087102213
59099,4.0,3.0,98.0,86.0,1.4602795942837143
59100,1.0,1.0,47.0,32.0,-1.899474942077376
59101,4.0,2.0,163.0,125.0,2.627056109796708
59102,1.0,1.0,40.0,35.0,-2.146527290425289
59103,5.0,4.0,97.0,90.0,2.6512529553627444
59104,2.0,1.0,45.0,35.0,-1.714570869519162
59105,1.0,1.0,34.0,30.0,-2.1563083067419813
59106,5.0,3.0,132.0,116.0,2.8882368078697223
59107,3.0,2.0,86.0,79.0,0.8163449450342857
59108,3.0,2.0,70.0,70.0,0.11537508368142725
59109,3.0,2.0,73.0,65.0,0.01786459042665321
59110,2.0,1.0,90.0,52.0,-0.7224004404802215
59111,2.0,1.0,66.0,58.0,-1.0540255269142493
59112,3.0,2.0,71.0,71.0,-0.023094072214390075
59113,1.0,1.0,43.0,43.0,-1.839908233580822
59114,1.0,1.0,33.0,29.0,-2.3533278823039954
59115,1.0,1.0,32.0,28.0,-2.2817150940472426
59116,4.0,3.0,175.0,141.0,3.6768303449925206
59117,2.0,1.0,42.0,38.0,-1.5237570632149453
59118,3.0,2.0,76.0,67.0,0.5067085190474891
59119,2.0,1.0,33.0,33.0,-1.8131020993688207
59120,2.0,1.0,64.0,55.0,-1.0163304978188892
59121,5.0,3.0,153.0,153.0,3.274655123324847
59122,4.0,3.0,131.0,100.0,2.4384617424355977
59123,4.0,3.0,125.0,117.0,2.9202933965105915
59124,1.0,1.0,36.0,34.0,-2.2307215724422216
59125,1.0,1.0,42.0,38.0,-2.0367347107501628
59126,1.0,1.0,38.0,38.0,-1.996811709576353
59127,1.0,1.0,41.0,37.0,-2.083177735197771
59128,4.0,3.0,120.0,115.0,2.4500035306865713
59129,1.0,1.0,49.0,46.0,-1.7479577422442183
59130,3.0,2.0,120.0,77.0,0.8841963473855542
59131,1.0,1.0,31.0,27.0,-2.2688396402678395
59132,1.0,1.0,50.0,45.0,-1.7900314861643956
59133,2.0,1.0,68.8,49.0,-1.1494368016530392
59134,1.0,1.0,37.0,37.0,-2.092914314131754
59135,3.0,2.0,71.0,63.0,-0.06891343707621925
59136,2.0,1.0,45.0,43.0,-1.5386904562053811
59137,1.0,1.0,49.0,39.0,-1.7545981055589805
59138,2.0,1.0,43.0,41.0,-1.5256061211750718
59139,1.0,1.0,25.0,25.0,-2.507683879487131
59140,4.0,3.0,98.0,77.8,1.4324393518446679
59141,3.0,2.0,63.0,60.0,-0.3045931924919993
59142,3.0,2.0,83.0,79.0,0.6296380018209073
59143,3.0,2.0,65.0,55.0,-0.29037401541246216
59144,2.0,1.0,43.0,30.0,-1.7554294694970052
59145,2.0,1.0,45.0,45.0,-1.5321514572476571
59146,4.0,3.0,153.0,95.0,2.115228978026171
59147,2.0,1.0,63.0,59.0,-0.7149341905338721
59148,1.0,1.0,55.0,31.0,-1.9442451823705336
59149,3.0,2.0,58.0,50.0,-0.17667399028766526
59150,2.0,1.0,43.0,41.0,-1.486585062013191
59151,2.0,1.0,58.0,39.0,-1.5035139027701758
59152,5.0,3.0,115.0,106.0,2.5198418883903435
59153,2.0,1.0,44.0,41.0,-1.7061600532093513
59154,3.0,2.0,68.0,68.0,0.3634539233882177
59155,1.0,1.0,31.0,28.0,-2.342478814763375
59156,4.0,3.0,128.0,123.0,2.348359071611412
59157,3.0,1.0,56.0,56.0,-0.7659475564199288
59158,3.0,1.0,63.0,57.5,-0.548194870081725
59159,2.0,1.0,50.0,45.0,-1.2622737982877852
59160,1.0,1.0,26.0,26.0,-2.424302553588685
59161,5.0,3.0,110.0,101.0,2.594754752151027
59162,5.0,2.0,208.0,190.0,3.530892834612789
59163,2.0,1.0,36.0,35.0,-1.7877514504060625
59164,2.0,1.0,50.0,45.0,-1.2780424732606446
59165,2.0,1.0,41.0,38.0,-1.6618005920124654
59166,2.0,1.0,48.0,48.0,-1.4567486891033197
59167,1.0,1.0,41.0,35.0,-1.9745074148451047
59168,2.0,1.0,53.0,48.0,-1.3399055185866315
59169,2.0,1.0,67.2,47.0,-1.1278861379892944
59170,2.0,1.0,42.0,38.0,-1.4620334493771387
59171,5.0,4.0,120.0,97.0,2.544389122996844
59172,4.0,2.0,103.0,91.0,1.445300678155385
59173,2.0,1.0,45.0,37.0,-1.6352002391067106
59174,1.0,1.0,25.0,25.0,-2.4394503851991804
59175,2.0,1.0,47.0,40.0,-1.5557067855577107
59176,1.0,1.0,33.0,33.0,-2.2242569761226836
59177,3.0,2.0,56.0,52.0,-0.23913719828809152
59178,2.0,1.0,50.0,45.0,-1.2831970484747164
59179,2.0,1.0,62.8,43.0,-1.2634861418917265
59180,2.0,1.0,35.0,35.0,-1.8687652992492132
59181,2.0,1.0,29.0,29.0,-1.8971059430876982
59182,1.0,1.0,24.0,24.0,-2.3895583091427133
59183,2.0,1.0,28.0,28.0,-1.9678614862028412
59184,1.0,1.0,38.0,33.0,-2.0267970183282373
59185,3.0,2.0,58.0,53.0,-0.2629511705084038
59186,3.0,2.0,59.0,55.0,-0.12500999097718324
59187,1.0,1.0,37.0,33.0,-2.0836818089836746
59188,1.0,1.0,20.0,20.0,-2.6627914948505267
59189,5.0,3.0,148.0,132.0,3.3230175908668205
59190,4.0,3.0,172.0,159.0,3.6626924647008305
59191,3.0,2.0,75.0,75.0,0.5141453361934862
59192,4.0,3.0,300.0,200.0,5.560459059966004
59193,1.0,1.0,38.0,34.0,-2.158676010076951
59194,4.0,3.0,118.0,112.0,2.845664445525322
59195,2.0,1.0,47.0,40.0,-1.327225921800477
59196,3.0,2.0,67.0,60.0,-0.13616297409720687
59197,1.0,1.0,35.0,32.0,-2.1928160150758025
59198,2.0,1.0,36.0,36.0,-1.7344622070555529
59199,2.0,1.0,56.0,48.0,-1.1441239747479925
59200,1.0,1.0,36.0,36.0,-2.1459482561217813
59201,1.0,1.0,235.0,41.0,-0.05996701707553858
59202,2.0,1.0,86.0,45.0,-1.1100263442816865
59203,3.0,2.0,66.0,61.0,-0.03782498437845105
