,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,cp_1,tiene_cochera,tiene_parrilla,tiene_pileta,tiene_terraza,expensas
40671,2.0,1.0,56.0,56.0,-1.136583685686539,0,0,0,1,Bajas expensas
40672,2.0,1.0,45.0,39.0,-1.5084901161067776,0,0,0,0,
40673,4.0,3.0,74.0,69.0,1.0264490462096858,0,0,0,1,
40674,2.0,1.0,35.0,35.0,-1.8143993877716929,0,0,0,0,Con expensas
40675,3.0,2.0,120.0,102.0,1.469794715094272,0,0,0,0,Con expensas
40676,3.0,2.0,105.0,52.0,0.218893076527589,0,1,0,1,Con expensas
40677,2.0,1.0,77.0,42.0,-1.0137977267967209,1,1,0,1,Bajas expensas
40678,4.0,3.0,76.0,72.0,1.0952497808010964,1,0,0,0,Con expensas
40679,3.0,2.0,68.0,55.0,-0.2520946319228866,0,0,0,0,Con expensas
40680,3.0,2.0,72.0,65.0,0.3558364171858015,1,0,0,1,
40681,1.0,1.0,42.0,36.0,-1.8704505343467135,1,1,1,1,
40682,1.0,1.0,35.0,25.0,-2.240358607656227,1,1,1,1,
40683,3.0,2.0,58.0,42.0,-0.5591546392739642,0,0,0,0,
40684,4.0,3.0,92.0,90.0,1.3714268322088392,0,0,0,0,Con expensas
40685,2.0,1.0,58.0,49.0,-1.11617882775106,1,1,0,1,
40686,3.0,2.0,72.0,45.0,-0.3053810566164479,0,0,0,1,Sin expensas
40687,2.0,1.0,40.0,40.0,-1.7201919062689162,0,0,0,0,
40688,2.0,1.0,50.0,48.0,-1.5921241284021896,0,0,0,0,
40689,5.0,4.0,114.0,114.0,3.255713773567121,1,0,0,1,Con expensas
40690,3.0,2.0,68.0,65.0,-0.0067695230989374,0,0,0,1,Bajas expensas
40691,2.0,1.0,47.0,39.0,-1.4649797619966924,0,1,0,1,
40692,2.0,1.0,56.1,34.0,-1.4280941345371252,1,1,1,1,Con expensas
40693,3.0,2.0,58.0,54.4,-0.2565929215275718,0,0,0,1,Con expensas
40694,3.0,2.0,87.0,69.0,0.3780565711743264,0,1,0,0,Con expensas
40695,3.0,2.0,66.0,66.0,-0.0898688049666288,0,0,0,1,
40696,3.0,3.0,234.6,207.0,4.612913681554218,0,0,0,1,
40697,4.0,3.0,198.0,138.0,3.2983841151175284,0,0,0,1,
40698,1.0,1.0,34.0,34.0,-2.2311830285333847,0,0,0,0,
40699,2.0,1.0,50.0,35.0,-1.656371460992731,0,0,0,0,Con expensas
40700,2.0,1.0,55.0,47.0,-0.8730138784211505,1,1,1,1,Con expensas
40701,1.0,1.0,40.0,40.0,-1.7314618961608566,0,0,1,0,
40702,2.0,1.0,52.0,52.0,-1.4290714724457172,0,0,0,0,
40703,3.0,2.0,65.0,57.0,-0.2416313361186933,0,0,0,1,Sin expensas
40704,3.0,2.0,59.0,59.0,-0.2775017927013424,0,0,0,0,
40705,2.0,1.0,38.0,38.0,-1.7691912351813006,0,0,0,0,Bajas expensas
40706,4.0,3.0,94.0,90.0,1.5810756311316048,0,0,0,0,
40707,4.0,3.0,148.0,132.0,3.5684124226861824,1,1,1,1,
40708,2.0,1.0,55.0,50.0,-1.2071461128296046,1,0,1,0,
40709,2.0,1.0,47.0,42.0,-1.4846694382726713,0,1,0,1,
40710,1.0,1.0,31.0,31.0,-2.2734125502362765,0,0,0,1,Con expensas
40711,2.0,1.0,65.0,44.0,-1.2111166040341503,1,1,0,1,
40712,3.0,2.0,72.0,60.5,0.2281656410267712,1,1,0,0,
40713,5.0,4.0,142.0,100.0,2.920553464822161,0,1,0,1,
40714,3.0,2.0,56.0,56.0,-0.2663924878596548,0,0,0,1,
40715,3.0,2.0,134.0,120.0,2.666949276484357,1,1,1,1,Con expensas
40716,4.0,3.0,178.0,127.0,2.9919528901486165,0,0,0,1,
40717,3.0,2.0,91.0,82.0,0.3819308569919801,0,0,0,0,Bajas expensas
40718,2.0,1.0,45.0,40.0,-1.4368220170971957,0,0,1,1,
40719,3.0,2.0,102.0,76.0,0.4713750648321792,0,0,0,1,
40720,3.0,2.0,118.0,89.0,1.4864478661596638,0,0,0,1,Bajas expensas
40721,3.0,2.0,48.0,48.0,-0.490132202196757,0,0,0,0,
40722,3.0,2.0,69.0,65.0,0.1475678580146582,0,0,0,0,
40723,3.0,2.0,95.0,84.0,1.185235981612103,1,1,1,0,
40724,5.0,4.0,150.0,130.0,3.671042971118117,0,0,0,1,Sin expensas
40725,2.0,1.0,36.0,36.0,-1.748030976781583,0,0,0,0,Con expensas
40726,4.0,3.0,187.0,187.0,4.6779632924095695,1,0,0,1,
40727,4.0,3.0,97.0,73.0,1.3076834052255126,0,0,0,1,
40728,2.0,1.0,44.0,39.0,-1.6093647438204648,0,0,0,1,Con expensas
40729,3.0,2.0,72.0,72.0,0.072831224272589,0,0,0,0,Sin expensas
40730,3.0,2.0,58.0,48.0,-0.418275231949677,0,0,0,0,Con expensas
40731,2.0,1.0,73.0,50.0,-1.0693589925304765,0,0,0,0,
40732,1.0,1.0,44.0,35.0,-1.9638829874919417,0,0,0,0,Con expensas
40733,4.0,3.0,171.0,136.0,3.508708416395169,1,1,1,1,
40734,1.0,1.0,38.0,33.0,-2.119464057700428,0,0,0,0,Con expensas
40735,3.0,2.0,71.7,56.0,0.0474009154889766,1,1,1,1,Con expensas
40736,3.0,2.0,56.0,52.0,-0.3731536145786761,0,0,0,0,Con expensas
40737,2.0,1.0,49.0,49.0,-1.3712721062317927,1,0,0,0,
40738,3.0,2.0,85.0,73.0,0.6260760824616531,1,1,0,1,
40739,3.0,2.0,110.0,100.0,2.4338428348957306,1,0,1,0,
40740,3.0,2.0,73.0,64.0,0.4035613982344778,1,1,1,1,
40741,3.0,2.0,103.0,89.0,1.2133425656510652,1,1,1,1,
40742,5.0,3.0,142.0,142.0,4.146386810926854,0,0,0,0,
40743,2.0,1.0,41.0,41.0,-1.625138487847689,0,0,0,0,Bajas expensas
40744,1.0,1.0,40.0,35.0,-2.1323317552106467,1,1,1,1,
40745,2.0,1.0,55.0,46.0,-1.184203779491978,0,1,0,0,Con expensas
40746,2.0,1.0,52.0,46.0,-1.2929319622544055,1,0,0,0,
40747,4.0,3.0,71.0,62.0,0.8206554187905637,0,0,0,0,
40748,3.0,2.0,60.0,57.0,-0.1729636859891796,0,0,1,0,Bajas expensas
40749,3.0,2.0,108.0,69.0,0.5055998794775844,1,0,1,0,
